,,Pressure (bar),Temperature (°C),XCO2,mNaCl (mol/Kg),,,,
,,101.325,18,0.0266083389524974,0,0.00151696428571429,0.0554938956714761,0.0266083389524974,0.3398
,,151.9875,18,0.0279556062117976,0,0.00159598214285714,0.0554938956714761,0.0279556062117976,0.3575
,,202.65,18,0.0290337714798211,0,0.001659375,0.0554938956714761,0.0290337714798211,0.3717
,,303.975,18,0.0306541013704379,0,0.00175491071428571,0.0554938956714761,0.0306541013704379,0.3931
,,50.6625,25,0.0214359949723828,0,0.001215625,0.0554938956714761,0.0214359949723828,0.2723
,,75.99375,25,0.0244617692098307,0,0.00139151785714286,0.0554938956714761,0.0244617692098307,0.3117
,,101.325,25,0.0249056084686948,0,0.00141741071428571,0.0554938956714761,0.0249056084686948,0.3175
,,405.3,25,0.0301322496077275,0,0.00172410714285714,0.0554938956714761,0.0301322496077275,0.3862
,,25.33125,31.04,0.011278644648054,0,0.000633035714285714,0.0554938956714761,0.011278644648054,0.1418
,,50.6625,31.04,0.0190575656871241,0,0.001078125,0.0554938956714761,0.0190575656871241,0.2415
,,75.99375,31.04,0.0230510494294038,0,0.001309375,0.0554938956714761,0.0230510494294038,0.2933
,,101.325,31.04,0.0236955794949467,0,0.001346875,0.0554938956714761,0.0236955794949467,0.3017
,,151.9875,31.04,0.0247832103960826,0,0.00141026785714286,0.0554938956714761,0.0247832103960826,0.3159
,,202.65,31.04,0.0256928111387809,0,0.00146339285714286,0.0554938956714761,0.0256928111387809,0.3278
,,405.3,31.04,0.0287378939766469,0,0.00164196428571429,0.0554938956714761,0.0287378939766469,0.3678
,,506.625,31.04,0.0301700838349555,0,0.00172633928571429,0.0554938956714761,0.0301700838349555,0.3867
,,25.33125,35,0.0103104006789271,0,0.000578125,0.0554938956714761,0.0103104006789271,0.1295
,,50.6625,35,0.0175535203728391,0,0.000991517857142857,0.0554938956714761,0.0175535203728391,0.2221
,,75.99375,35,0.0219056798496082,0,0.00124285714285714,0.0554938956714761,0.0219056798496082,0.2784
,,101.325,35,0.0228974644389857,0,0.00130044642857143,0.0554938956714761,0.0228974644389857,0.2913
,,151.9875,35,0.0239638827595176,0,0.0013625,0.0554938956714761,0.0239638827595176,0.3052
,,202.65,35,0.0249667959842178,0,0.00142098214285714,0.0554938956714761,0.0249667959842178,0.3183
,,405.3,35,0.0279404036857618,0,0.00159508928571429,0.0554938956714761,0.0279404036857618,0.3573
,,506.625,35,0.0296552853000166,0,0.00169598214285714,0.0554938956714761,0.0296552853000166,0.3799
,,25.33125,40,0.00926130151113658,0,0.00051875,0.0554938956714761,0.00926130151113658,0.1162
,,50.6625,40,0.0161071603372416,0,0.000908482142857143,0.0554938956714761,0.0161071603372416,0.2035
,,75.99375,40,0.0203408809624864,0,0.00115223214285714,0.0554938956714761,0.0203408809624864,0.2581
,,101.325,40,0.0218825911353691,0,0.00124151785714286,0.0554938956714761,0.0218825911353691,0.2781
,,126.65625,40,0.0225747787238022,0,0.00128169642857143,0.0554938956714761,0.0225747787238022,0.2871
,,151.9875,40,0.0230971155119365,0,0.00131205357142857,0.0554938956714761,0.0230971155119365,0.2939
,,202.65,40,0.0248979594892813,0,0.00141696428571429,0.0554938956714761,0.0248979594892813,0.3174
,,405.3,40,0.0272862449147155,0,0.00155669642857143,0.0554938956714761,0.0272862449147155,0.3487
,,506.625,40,0.0286999479218398,0,0.00163973214285714,0.0554938956714761,0.0286999479218398,0.3673
,,50.6625,40,0.0162,0,,,,
,,75.99375,40,0.0205,0,,,,
,,101.325,40,0.022,0,,,,
,,126.65625,40,0.0227,0,,,,
,,151.9875,40,0.0232,0,,,,
,,202.65,40,0.0243,0,,,,
,,405.3,40,0.0275,0,,,,
,,506.625,40,0.0289,0,,,,
,,50.6625,50,0.0138,0,,,,
,,75.99375,50,0.0179,0,,,,
,,101.325,50,0.0203,0,,,,
,,126.65625,50,0.0212,0,,,,
,,151.9875,50,0.0219,0,,,,
,,202.65,50,0.023,0,,,,
,,303.975,50,0.0247,0,,,,
